Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,year_count,miles driven
Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,1.28,1.25,0,0,1,0,1,16,55923.39
Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,1.28,1.53,0,0,1,0,1,10,12239.765958
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,1.28,5.58,1,0,0,0,1,7,13690.667243
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,1.28,4.74,0,0,1,0,1,10,22050.592677
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,1.28,8.85,0,0,1,1,0,10,28815.458754
Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,1.28,10.11,0,0,1,1,0,8,32311.913371
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,1.28,4.25,1,0,0,0,1,16,36042.624855
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,1.28,10.95,0,0,1,0,1,12,43933.415184
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,1.28,3.85,1,0,0,0,1,10,46602.825
Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,1.28,5.5,1,0,0,0,1,12,47099.921800000004
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,1.28,21.43,1,0,0,1,0,9,8480.471408
Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,1.28,4.25,1,0,0,0,1,10,32311.292
Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,1.28,3.3,1,0,0,0,1,10,32932.663
Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,1.28,3.85,1,0,0,0,1,11,40793.00615
Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,1.28,3.6,0,0,1,0,1,9,33554.034
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,1.28,3.99,0,0,1,0,1,9,24233.469
Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,1.28,3.3,0,0,1,0,1,7,10278.719082
Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,1.28,2.07,0,0,1,0,1,14,19883.872
Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,18.161150290996236,1995.0,147.6,5.0,1.28,7.75,1,0,0,1,0,14,75690.444252
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,1.28,2.25,0,0,1,0,1,14,24419.8803
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,1.28,16.5,1,0,0,0,1,7,13670.162
Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,1.28,2.75,1,0,0,0,1,14,44738.712
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,1.28,26.7,0,0,1,1,0,9,36039.518000000004
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,1.28,10.0,1,0,0,0,1,13,40389.115
Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,1.28,2.5,1,0,0,0,1,8,110604.038
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,1.28,13.5,1,0,0,1,0,12,40801.705344
Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,1.28,1.85,0,0,1,1,0,17,39146.373
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,1.28,35.67,1,0,0,1,0,5,9549.850899000001
Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,1.28,8.15,1,0,0,0,1,8,39146.373
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,1.28,10.5,1,0,0,0,1,6,8077.823
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,1.28,14.5,0,0,1,1,0,16,45360.083
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,1.28,9.65,1,0,0,0,1,9,34628.384459
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,1.28,3.48,0,0,1,1,0,12,28072.299038
Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,1.28,6.92,1,0,0,0,1,9,34837.786486
Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,1.28,6.46,0,0,1,1,0,8,23177.1383
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,1.28,29.5,1,0,0,1,0,10,34796.776
Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,1.28,4.5,0,0,1,0,1,18,142915.33
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,1.28,11.75,1,0,0,0,1,12,64622.584
Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,1.28,3.75,1,0,0,0,1,12,59092.3821
Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,1.28,4.5,0,0,1,0,1,7,43495.97
Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,1.28,4.82,0,0,1,0,1,8,34140.608224
Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,1.28,2.8,1,0,0,0,1,12,43705.372027
Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,1.28,3.11,1,0,0,0,1,11,61912.163698000004
Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,1.28,3.25,0,0,1,0,1,15,32311.292
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,1.28,13.9,1,0,0,1,0,13,46602.825
Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,1.28,2.25,0,0,1,0,1,15,59639.18858
Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,1.28,5.75,0,0,1,0,1,8,9941.936
Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,1.28,5.0,0,0,1,0,1,8,11774.359079
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,1.28,16.5,1,0,0,0,1,10,66486.697
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,1.28,39.58,1,0,0,1,0,6,30053.851157
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,1.28,5.5,1,0,0,0,1,11,35418.147
Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,1.28,8.1,1,0,0,0,1,10,36039.518000000004
Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,1.28,3.5,1,0,0,0,1,9,18641.13
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,1.28,2.79,1,0,0,0,1,11,21258.344652
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,1.28,3.45,1,0,0,0,1,14,43497.212742
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,1.28,4.45,0,0,1,0,1,8,38525.002
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,1.28,2.65,0,0,1,0,1,14,38525.623371
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,1.28,3.8,1,0,0,0,1,13,49062.211418
Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,1.28,4.65,0,0,1,0,1,10,18752.97678
Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,1.28,3.95,0,0,1,0,1,7,20412.658721
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,1.28,9.8,1,0,0,1,0,14,18641.13
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,1.28,2.7,0,0,1,0,1,15,41010.486
Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,1.28,2.41,0,0,1,0,1,14,58315.66835
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,1.28,3.9,0,0,1,0,1,10,32932.663
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,1.28,24.0,1,0,0,1,0,13,48466.938
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,1.28,5.75,1,0,0,0,1,12,40389.115
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,1.28,5.25,1,0,0,1,0,10,24854.84
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,1.28,19.25,1,0,0,1,0,7,18641.13
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,1.28,3.91,0,0,1,0,1,7,23645.030663
Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,1.28,2.15,0,0,1,0,1,10,15844.960500000001
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,1.28,20.75,1,0,0,1,0,9,34850.835277
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,1.28,3.35,0,0,1,0,1,14,44172.021648
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,1.28,11.11,1,0,0,0,1,10,34175.405
Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,1.28,20.0,1,0,0,1,0,10,20318.8317
Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,1.28,6.55,0,0,1,1,0,8,24781.518222
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,1.28,7.0,0,0,1,1,0,15,79535.488
Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,1.28,7.5,1,0,0,0,1,8,34175.405
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,1.28,16.75,1,0,0,1,0,10,33400.555363
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,1.28,10.95,1,0,0,0,1,6,6369.05275
Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,1.28,2.45,0,0,1,0,1,13,27262.031254
Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,1.28,3.23,0,0,1,1,0,7,20308.889764
Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,1.28,7.75,1,0,0,0,1,10,26097.582
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,1.28,9.35,0,0,1,1,0,15,17617.110592
Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,1.28,5.25,0,0,1,0,1,17,29639.3967
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,1.28,7.25,1,0,0,1,0,9,34175.405
Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,1.28,7.47,0,0,1,0,1,7,27517.414735000002
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,1.28,13.25,1,0,0,1,0,8,33554.034
Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,1.28,5.81,0,0,1,0,1,8,18785.288072
Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,1.28,2.6,0,0,1,0,1,10,54991.3335
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,1.28,54.0,0,0,1,1,0,7,8308.973012
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,1.28,11.5,0,0,1,1,0,5,7857.236295
Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,1.28,1.6,0,0,1,0,1,14,58648.101835
BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,1.28,17.22,1,0,0,1,0,9,19772.646591
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,1.28,6.0,0,0,1,1,0,9,7456.452
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,1.28,3.95,0,0,1,0,1,12,55039.800438
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,1.28,17.95,1,0,0,1,0,10,27939.947015
Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,1.28,3.7,1,0,0,0,1,10,27989.035324
Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,1.28,5.43,0,0,1,0,1,8,21253.373684000002
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,1.28,13.49,1,0,0,0,1,12,56690.783185
Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,1.28,2.85,0,0,1,0,1,10,24109.1948
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,1.28,4.75,1,0,0,0,1,11,51573.793
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,1.28,9.9,0,0,1,0,1,6,25652.058993
Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,1.28,37.0,0,0,1,1,0,11,14291.533
BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,1.28,26.5,1,0,0,1,0,10,29825.808
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,1.28,23.32,1,0,0,1,0,9,29958.781394
Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,1.28,6.25,1,0,0,0,1,8,21747.985
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,1.28,30.0,0,0,1,1,0,14,21920.104767
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,1.28,9.86,1,0,0,1,0,8,33939.28402
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,1.28,8.5,1,0,0,1,0,12,85125.962887
Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,1.28,4.23,0,0,1,0,1,5,8899.275462
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,1.28,3.5,1,0,0,0,1,12,40783.064214
Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,1.28,2.5,0,0,1,0,1,8,3728.226
Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,1.28,2.39,0,0,1,0,1,11,20679.226880000002
Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,1.28,11.25,0,0,1,1,0,11,18019.759000000002
Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,1.28,7.11,1,0,0,0,1,9,26613.941301
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,1.28,10.9,1,0,0,0,1,8,55923.39
Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,1.28,6.2,0,0,1,0,1,7,14916.010855
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,1.28,7.9,1,0,0,0,1,12,20375.997832
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,1.28,4.42,1,0,0,0,1,10,91899.528158
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,1.28,13.5,1,0,0,0,1,12,81874.949815
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,1.28,6.25,1,0,0,1,0,11,40389.115
Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,1.28,2.1,1,0,0,0,1,14,41086.914633
BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,1.28,45.0,1,0,0,1,0,9,25476.211
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,1.28,33.66,1,0,0,1,0,7,14633.28705
Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,1.28,3.65,0,0,1,0,1,12,27961.695
Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,1.28,2.75,0,0,1,0,1,11,37282.26
Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,1.28,42.5,1,0,0,1,0,8,27597.571594
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,1.28,6.5,0,0,1,0,1,5,621.371
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,1.28,19.0,1,0,0,1,0,12,38835.6875
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,1.28,4.45,0,0,1,1,0,11,13048.791
Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,1.28,23.0,1,0,0,1,0,7,5297.187775
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,1.28,8.35,1,0,0,0,1,10,18019.759000000002
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,1.28,22.95,1,0,0,1,0,10,24854.84
Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,1.28,1.5,1,0,0,0,1,12,54680.648
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,1.28,6.89,0,0,1,1,0,12,33266.339227
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,68.0,5.0,1.28,1.45,1,0,0,0,1,18,134216.136
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,1.28,33.5,1,0,0,1,0,10,31689.921000000002
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,1.28,1.25,0,0,1,0,1,17,73632.4635
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,1.28,4.2,1,0,0,0,1,12,39146.373
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461.0,108.5,8.0,1.28,6.75,1,0,0,0,1,9,15534.275
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,13.0,2143.0,201.1,5.0,1.28,32.0,1,0,0,1,0,10,23228.090722
Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197.0,83.1,5.0,1.28,7.5,0,0,1,0,1,7,15393.223783
Hyundai Verna 1.6 SX,Delhi,2012,62000,First,22.32,1582.0,126.32,5.0,1.28,4.6,1,0,0,0,1,12,38525.002
Hyundai i10 Magna 1.1,Kochi,2017,52340,First,19.81,1086.0,68.05,5.0,1.28,4.04,0,0,1,0,1,7,32522.55814
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,15.4,1997.0,120.0,7.0,1.28,10.31,1,0,0,0,1,8,35255.969169
